Timestamp,Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
11/15/2021 15:22:42,1947,Best Performance by an Actor in a Leading Role in a Play,Jose Ferrer,Cyrano de Bergerac
11/15/2021 15:23:13,1947,Best Performance by an Actress in a Leading Role in a Play,Ingrid Bergman,Joan of Lorraine
11/15/2021 15:23:55,1947,Best Performance by an Actor in a Leading Role in a Play,Fredric March,Years Ago
11/15/2021 15:24:16,1947,Best Performance by an Actress in a Leading Role in a Play,Helen Hayes,Happy Birthday
11/15/2021 15:25:36,1947,Best Performance by an Actor in a Featured Role in a Musical,David Wayne,Finian's Rainbow
11/15/2021 15:26:01,1947,Best Performance by an Actress in a Featured Role in a Play,Patricia Neal,Another Part of the Forrest
11/15/2021 15:28:55,1947,Best Author of a Play,Arthur Miller,All My Sons
11/15/2021 15:29:19,1947,Best Choreography,Agnes de Mille,Brigadoon
11/15/2021 15:29:47,1947,Best Choreography,Michael Kidd,Finian's Rainbow
11/15/2021 15:30:26,1947,Best Costume Design of a Play,Lucinda Ballard,Multiple
11/15/2021 15:31:03,1947,Best Direction of a Play,Elia Kazan,All My Sons
11/15/2021 15:32:04,1947,Best Original Score,Kurt Weill,Street Scene
11/15/2021 15:32:39,1947,Best Scenic Design of a Play,David Folks,Henry VIII
11/15/2021 15:33:35,1948,Best Performance by an Actor in a Leading Role in a Musical,Paul Hartman,Angel in the Wings
11/15/2021 15:34:01,1948,Best Performance by an Actor in a Leading Role in a Play,Henry Fonda,Mister Roberts
11/15/2021 15:35:25,1948,Best Performance by an Actor in a Leading Role in a Play,Paul Kelly,Command Decision
11/15/2021 15:36:10,1948,Best Performance by an Actor in a Leading Role in a Play,Basil Rathbone,The Heiress
11/15/2021 15:36:38,1948,Best Performance by an Actress in a Leading Role in a Musical,Grace Hartman,Angel in the Wings
11/15/2021 15:36:59,1948,Best Performance by an Actress in a Leading Role in a Play,Judith Anderson,Medea
11/15/2021 15:37:26,1948,Best Performance by an Actress in a Leading Role in a Play,Katharine Cornell,Antony and Cleopatra
11/15/2021 15:37:59,1948,Best Performance by an Actress in a Leading Role in a Play,Jessica Tandy,A Streetcar Named Desire
11/15/2021 15:38:49,1948,Best Author of a Play,Thomas Heggen,Mister Roberts
11/15/2021 15:38:49,1948,Best Author of a Play,Joshua Logan,Mister Roberts
11/15/2021 15:39:17,1948,Best Choreography,Jerome Robbins,High Button Shoes
11/15/2021 15:40:46,1948,Conductor And Musical Director,Max Meth,Finian's Rainbow
11/15/2021 15:41:31,1948,Best Costume Design of a Play,Mary Percy Schenck,The Heiress
11/15/2021 15:42:50,1948,Best Direction of a Play,Joshua Logan,Mister Roberts
11/15/2021 15:45:12,1948,Best Play,Mister Roberts,Mister Roberts
11/15/2021 15:45:45,1948,Best Producer of a Play,Leland Hayward,Mister Roberts
11/15/2021 15:47:06,1948,Best Scenic Design of a Play,Horace Armistead,The Medium
11/15/2021 15:48:07,1949,Best Performance by an Actor in a Leading Role in a Musical,Ray Bolger,Where's Charley?
11/15/2021 15:48:52,1949,Best Performance by an Actor in a Leading Role in a Play,Rex Harrison,Anne of the Thousand Days
11/15/2021 15:49:19,1949,Best Performance by an Actress in a Leading Role in a Musical,Nanette Fabray,Love Life
